"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"red, 1",red,1,1,0,0,0,0,0,0,0,0,0.0
"white, 1",white,1,0,0,0,0,0,0,0,0,0,0.0
"black, 1",black,1,0,0,0,0,0,0,0,0,0,0.0
"red, 2",red,2,0,1,0,0,0,0,0,0,0,0.0
"white, 2",white,2,1,0,0,0,0,0,0,0,0,0.0
"black, 2",black,2,0,0,0,0,0,0,0,0,0,0.0
"red, 3",red,3,0,0,0,1,0,0,0,0,0,0.0
"white, 3",white,3,0,1,0,0,0,0,0,0,0,0.0
"black, 3",black,3,1,0,0,0,0,0,0,0,0,0.0
"red, 4",red,4,1,0,0,0,0,1,0,0,0,0.0
"white, 4",white,4,0,0,0,1,0,0,0,0,0,0.0
"black, 4",black,4,0,1,0,0,0,0,0,0,0,0.0
"red, 5",red,5,1,1,0,0,0,0,0,0,0,0.0
"white, 5",white,5,0,0,0,0,0,1,0,0,0,0.0
"black, 5",black,5,0,0,0,1,0,0,0,0,0,0.0
"red, 6",red,6,0,1,0,1,0,0,0,0,0,0.0
"white, 6",white,6,0,0,0,0,0,0,0,0,0,0.0
"black, 6",black,6,0,0,0,0,0,1,0,0,0,0.0
"red, 7",red,7,1,0,0,1,0,1,0,0,0,0.0
"white, 7",white,7,0,0,0,0,0,0,0,0,0,0.0
"black, 7",black,7,0,0,0,0,0,0,0,0,0,0.0
"red, 8",red,8,1,1,0,0,0,1,0,0,0,0.0
"white, 8",white,8,0,0,0,0,0,0,0,0,0,0.0
"black, 8",black,8,0,0,0,0,0,0,0,0,0,0.0
"red, 9",red,9,1,1,0,1,0,0,0,0,0,0.0
"white, 9",white,9,0,0,0,0,0,0,0,0,0,0.0
"black, 9",black,9,0,0,0,0,0,0,0,0,0,0.0
"red, 10",red,10,1,1,1,1,0,1,0,0,0,0.0
"white, 10",white,10,0,0,0,0,0,0,0,0,0,0.0
"black, 10",black,10,0,0,0,0,0,0,0,0,0,0.0
"red, 11",red,11,0,1,1,1,1,1,0,0,0,0.0
"white, 11",white,11,0,0,0,0,0,0,0,0,0,0.0
"black, 11",black,11,1,0,0,0,0,0,0,0,0,0.0
"red, 12",red,12,0,0,0,1,1,1,1,0,0,0.0
"white, 12",white,12,0,0,0,0,0,0,0,0,0,0.0
"black, 12",black,12,1,1,1,0,0,0,0,0,0,0.0
"red, 13",red,13,0,0,0,0,0,1,1,0,0,-0.5
"white, 13",white,13,0,0,0,0,0,0,0,0,0,0.0
"black, 13",black,13,1,1,0,1,1,0,0,1,0,0.5
"red, 14",red,14,1,0,0,0,0,0,0,0,0,0.06666666666666667
"white, 14",white,14,0,0,0,0,0,0,0,1,1,0.3333333333333333
"black, 14",black,14,0,1,0,1,0,1,1,0,0,0.3333333333333333
"red, 15",red,15,0,1,1,0,0,0,0,1,1,0.06666666666666667
"white, 15",white,15,1,0,0,0,0,0,0,0,0,0.3333333333333333
"black, 15",black,15,0,0,0,1,0,1,0,0,0,0.3333333333333333
"red, 16",red,16,0,0,0,1,1,0,0,0,0,-0.5
"white, 16",white,16,0,1,0,0,0,0,0,0,0,0.0
"black, 16",black,16,1,0,0,0,0,1,0,1,1,0.5
"red, 17",red,17,0,0,0,0,0,1,1,0,0,0.0
"white, 17",white,17,1,0,0,1,0,0,0,0,0,0.0
"black, 17",black,17,0,1,0,0,0,0,0,0,0,0.0
"red, 18",red,18,0,0,0,0,0,0,0,0,0,0.0
"white, 18",white,18,1,1,0,0,0,1,0,0,0,0.0
"black, 18",black,18,0,0,0,1,0,0,0,0,0,0.0
"red, 19",red,19,0,0,0,0,0,0,0,0,0,-0.3333333333333333
"white, 19",white,19,1,1,0,1,0,0,0,1,0,-0.5384615384615384
"black, 19",black,19,0,0,0,0,0,1,0,0,0,0.6666666666666666
"red, 20",red,20,0,0,0,0,0,0,0,0,0,0.0
"white, 20",white,20,1,1,1,1,0,1,0,0,0,0.0
"black, 20",black,20,0,0,0,0,0,0,0,0,0,0.0
"red, 21",red,21,1,0,0,0,0,0,0,0,0,0.0
"white, 21",white,21,0,1,0,1,1,1,0,0,0,0.0
"black, 21",black,21,0,0,0,0,0,0,0,0,0,0.0
"red, 22",red,22,1,1,1,0,0,0,0,0,0,0.0
"white, 22",white,22,0,0,0,1,0,1,1,0,0,0.0
"black, 22",black,22,0,0,0,0,0,0,0,0,0,0.0
"red, 23",red,23,0,1,1,1,1,0,0,0,0,0.0
